domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,S Winifred,Saint Winifred,abbreviation_expansion,9,Dove: Branscombe; Dove: Kingston on Soar,S -> Saint
dedication,St Augustine,Saint Augustine,abbreviation_expansion,9,MP: East Langdon; MP: Locking,St -> Saint
dedication,St Catherine,Saint Catherine,abbreviation_expansion,9,Towers: TowerID 17287; MP: Draughton,St -> Saint
dedication,St Clement,Saint Clement,abbreviation_expansion,9,Dove: TowerID 12961; Towers: TowerID 12961,St -> Saint
dedication,St Denys,Saint Denys,abbreviation_expansion,9,MP: Stanford Dingley; MP: Eaton,St -> Saint
dedication,St John Baptist,Saint John Baptist,abbreviation_expansion,9,MP: Sully; MP: Hellidon,St -> Saint
dedication,The Blessed Virgin Mary,The Blessed Virgin Mary,verbatim,9,Towers: Charlcombe; Towers: Chesterblade,Standard dedication
dedication,Unknown,Unknown,verbatim,9,MP: Durleigh; MP: Maisemore,Standard dedication
dedication,Cath Ch of S Mary,Cathedral Church of Saint Mary,abbreviation_expansion,8,Dove: Edinburgh; Dove: Limerick,Prefix expanded: ^Cath Ch of\b -> Cathedral Church of; S -> Saint
dedication,Cath Ch of S Patrick,Cathedral Church of Saint Patrick,abbreviation_expansion,8,Dove: Bunbury; Dove: Melbourne,Prefix expanded: ^Cath Ch of\b -> Cathedral Church of; S -> Saint
dedication,Holy Ascension,Holy Ascension,verbatim,8,Dove: Settle; Towers: Hyde,Standard dedication
dedication,Holy Saviour,Holy Saviour,verbatim,8,Dove: Erlestoke; Towers: Bitterne,Standard dedication
dedication,Old Church,Old Church,verbatim,8,Dove: Smethwick; Towers: Ballaugh,Standard dedication
dedication,S Boniface,Saint Boniface,abbreviation_expansion,8,Dove: Bunbury; Towers: Bonchurch,S -> Saint
dedication,S Germain,Saint Germain,abbreviation_expansion,8,Dove: Bobbingworth; Dove: Scothern,S -> Saint
dedication,S Illtyd,Saint Illtyd,abbreviation_expansion,8,Dove: Bridgend; Dove: Llantrithyd,S -> Saint
dedication,S Kentigern,Saint Kentigern,abbreviation_expansion,8,Dove: Aspatria; Dove: Keswick,S -> Saint
dedication,S Mary & S John,Saint Mary and Saint John,abbreviation_expansion,8,Dove: Lamyatt; Towers: Bottomhouse,S -> Saint
dedication,S Michael the Archangel,Saint Michael the Archangel,abbreviation_expansion,8,Towers: Alcombe; Towers: Brantham,S -> Saint
dedication,S Teilo,Saint Teilo,abbreviation_expansion,8,Dove: Llandeilo; Dove: Llandeilo Graban,S -> Saint
dedication,St Edmund,Saint Edmund,abbreviation_expansion,8,MP: Hardingstone; MP: Warkton,St -> Saint
dedication,St James the Apostle,Saint James the Apostle,abbreviation_expansion,8,MP: Bondleigh; MP: Grafton Underwood,St -> Saint
dedication,St Mary and All Saints,Saint Mary and All Saints,abbreviation_expansion,8,MP: Kirkby Underwood; MP: Willoughby-on-the-Wolds,St -> Saint
dedication,St Mary the Blessed Virgin,Saint Mary the Blessed Virgin,abbreviation_expansion,8,MP: Stanwell; MP: Little Houghton,St -> Saint
dedication,St Nicolas,Saint Nicolas,abbreviation_expansion,8,MP: North Stoneham; MP: Abingdon,St -> Saint
dedication,St Pancras,Saint Pancras,abbreviation_expansion,8,Towers: TowerID 23661; Towers: TowerID 23660,St -> Saint
dedication,All Saints Old Church,All Saints Old Church,verbatim,7,Dove: Chelsea; Dove: Walesby,Standard dedication
dedication,Bell Tower,Bell Tower,verbatim,7,Dove: Beccles; Dove: Evesham,Standard dedication
dedication,Christ the King,Christ the King,verbatim,7,Towers: Aldersley; Towers: Battyeford,Standard dedication
dedication,Mission Room,Mission Room,verbatim,7,Towers: Baldersby; Towers: Bayford,Standard dedication
dedication,Nativity of BVM,Nativity of the Blessed Virgin Mary,abbreviation_expansion,7,Dove: Madley; Dove: Ringstead,Prefix expanded: ^Nativity of BVM\b -> Nativity of the Blessed Virgin Mary
dedication,Our Lady,Our Lady,verbatim,7,Dove: Upton Pyne; Dove: Warnford,Standard dedication
dedication,S Aldhelm,Saint Aldhelm,abbreviation_expansion,7,Dove: Doulting; Towers: Bedminster,S -> Saint
